species,genus,category,source,obesity_signal,shap_importance,safety_tier,clinical_evidence,priority_tier,genome_accession,assembly_level,resolved_organism,safety_risk_class,safety_flags,recommended_action,needs_genome_confirmation,bsh_potential,butyrate_scfa_potential,propionate_potential,mucin_interaction,lactate_acetate,metabolic_guild,adverse_mechanism_flag,obesity_mechanism,functional_provenance
Lacticaseibacillus_paracasei,Lacticaseibacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,qps_gras_lower_barrier,yes,A_clinical_evidence,GCF_000155515.2,Complete Genome,Lacticaseibacillus paracasei subsp. paracasei 8700:2,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,2,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Lactiplantibacillus_plantarum,Lactiplantibacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,qps_gras_lower_barrier,yes,A_clinical_evidence,GCF_009913655.1,Complete Genome,Lactiplantibacillus plantarum,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,2,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Bifidobacterium_breve,Bifidobacterium,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,qps_gras_lower_barrier,yes,A_clinical_evidence,GCF_001025175.1,Complete Genome,Bifidobacterium breve DSM 20213 = JCM 1192,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,1,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Bifidobacterium_longum,Bifidobacterium,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.1703,qps_gras_lower_barrier,yes,A_clinical_evidence,GCF_000196555.1,Complete Genome,Bifidobacterium longum subsp. longum JCM 1217,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,1,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Bifidobacterium_animalis,Bifidobacterium,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.0035,qps_gras_lower_barrier,yes,A_clinical_evidence,GCF_000022965.1,Complete Genome,Bifidobacterium animalis subsp. lactis DSM 10140,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,1,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Lactobacillus_acidophilus,Lactobacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_034298135.1,Complete Genome,Lactobacillus acidophilus,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,2,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Lactobacillus_gasseri,Lactobacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_000014425.1,Complete Genome,Lactobacillus gasseri ATCC 33323 = JCM 1131,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,2,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Lactobacillus_helveticus,Lactobacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_046109915.1,Complete Genome,Lactobacillus helveticus,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,2,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Lactobacillus_johnsonii,Lactobacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_014058685.1,Complete Genome,Lactobacillus johnsonii,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,2,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Lactobacillus_crispatus,Lactobacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_009769205.1,Complete Genome,Lactobacillus crispatus,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,2,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Lacticaseibacillus_rhamnosus,Lacticaseibacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_900636965.1,Complete Genome,Lacticaseibacillus rhamnosus,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,2,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Lacticaseibacillus_casei,Lacticaseibacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_000829055.1,Complete Genome,Lacticaseibacillus casei DSM 20011 = JCM 1134 = ATCC 393,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,2,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
