species,genus,category,source,obesity_signal,shap_importance,bsh_potential,butyrate_scfa_potential,mucin_interaction,safety_tier,clinical_evidence,priority_tier,genome_accession,assembly_level,resolved_organism
Lacticaseibacillus_paracasei,Lacticaseibacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,2.0,0.0,1.0,qps_gras_lower_barrier,yes,A_clinical_evidence,GCF_000155515.2,Complete Genome,Lacticaseibacillus paracasei subsp. paracasei 8700:2
Lactiplantibacillus_plantarum,Lactiplantibacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,2.0,0.0,1.0,qps_gras_lower_barrier,yes,A_clinical_evidence,GCF_009913655.1,Complete Genome,Lactiplantibacillus plantarum
Bifidobacterium_breve,Bifidobacterium,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,1.0,0.0,1.0,qps_gras_lower_barrier,yes,A_clinical_evidence,GCF_001025175.1,Complete Genome,Bifidobacterium breve DSM 20213 = JCM 1192
Bifidobacterium_longum,Bifidobacterium,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.1703,1.0,0.0,1.0,qps_gras_lower_barrier,yes,A_clinical_evidence,GCF_000196555.1,Complete Genome,Bifidobacterium longum subsp. longum JCM 1217
Bifidobacterium_animalis,Bifidobacterium,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.0035,1.0,0.0,1.0,qps_gras_lower_barrier,yes,A_clinical_evidence,GCF_000022965.1,Complete Genome,Bifidobacterium animalis subsp. lactis DSM 10140
Lactobacillus_acidophilus,Lactobacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,2.0,0.0,1.0,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_034298135.1,Complete Genome,Lactobacillus acidophilus
Lactobacillus_gasseri,Lactobacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,2.0,0.0,1.0,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_000014425.1,Complete Genome,Lactobacillus gasseri ATCC 33323 = JCM 1131
Lactobacillus_helveticus,Lactobacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,2.0,0.0,1.0,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_046109915.1,Complete Genome,Lactobacillus helveticus
Lactobacillus_johnsonii,Lactobacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,2.0,0.0,1.0,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_014058685.1,Complete Genome,Lactobacillus johnsonii
Lactobacillus_crispatus,Lactobacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,2.0,0.0,1.0,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_009769205.1,Complete Genome,Lactobacillus crispatus
Lacticaseibacillus_rhamnosus,Lacticaseibacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,2.0,0.0,1.0,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_900636965.1,Complete Genome,Lacticaseibacillus rhamnosus
Lacticaseibacillus_casei,Lacticaseibacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,2.0,0.0,1.0,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_000829055.1,Complete Genome,Lacticaseibacillus casei DSM 20011 = JCM 1134 = ATCC 393
Limosilactobacillus_reuteri,Limosilactobacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,2.0,0.0,1.0,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_020784875.1,Scaffold,Limosilactobacillus reuteri subsp. simiae
Limosilactobacillus_fermentum,Limosilactobacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,2.0,0.0,1.0,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_005341425.1,Chromosome,Limosilactobacillus fermentum
Pediococcus_acidilactici,Pediococcus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,,,,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_016127815.1,Complete Genome,Pediococcus acidilactici
Pediococcus_pentosaceus,Pediococcus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,,,,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_000014505.1,Complete Genome,Pediococcus pentosaceus ATCC 25745
Bacillus_coagulans,Bacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,1.0,0.0,0.0,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_000832905.1,Complete Genome,Heyndrickxia coagulans DSM 1 = ATCC 7050
Bacillus_subtilis,Bacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,1.0,0.0,0.0,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_000009045.1,Complete Genome,Bacillus subtilis subsp. subtilis str. 168
Saccharomyces_boulardii,Saccharomyces,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,,,,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_000146045.2,Complete Genome,Saccharomyces cerevisiae S288C
Bifidobacterium_adolescentis,Bifidobacterium,food_grade_probiotic,obesity_microbiome_signature,enriched_in_obesity,0.0406,1.0,0.0,1.0,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_000010425.1,Complete Genome,Bifidobacterium adolescentis ATCC 15703
Lactococcus_lactis,Lactococcus,food_grade_probiotic,obesity_microbiome_signature,enriched_in_obesity,0.0169,,,,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_003176835.1,Complete Genome,Lactococcus lactis subsp. lactis
Lactobacillus_rogosae,Lactobacillus,food_grade_probiotic,obesity_microbiome_signature,enriched_in_obesity,0.0111,2.0,0.0,1.0,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_900112995.1,Contig,[Lactobacillus] rogosae
Lactobacillus_ruminis,Lactobacillus,food_grade_probiotic,obesity_microbiome_signature,enriched_in_obesity,0.0078,2.0,0.0,1.0,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_000224985.1,Complete Genome,Ligilactobacillus ruminis ATCC 27782
Turicibacter_sanguinis,Turicibacter,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.1435,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_013046825.1,Complete Genome,Turicibacter sanguinis
Bacteroides_intestinalis,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.109,0.0,1.0,1.0,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_000172175.1,Contig,Bacteroides intestinalis DSM 17393
Eubacterium_eligens,Eubacterium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.1059,,,,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_000146185.1,Complete Genome,Lachnospira eligens ATCC 27750
Roseburia_sp_CAG_303,Roseburia,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0985,0.0,2.0,0.0,requires_genome_safety_lbp,screening_only,B_protective_screening,,no_isolate_genome_MAG_or_unresolved,
