combination_id,formulation_blocks,strains,total_strain_count,target_population,source_strain_ids,evidence_summary,evidence_doi_list,evidence_pmid_list,safety_gate,functional_modules,clinical_evidence_score,combination_design_score,synergy_score,split_evidence_penalty,original_formulation_recovery_score,complementarity_score,microbiome_matching_score,predicted_response_score,literature_evidence_score,validation_priority,recommended_prebiotic,notes,predicted_response_probability,response_model_level,response_model_source,response_model_pmids_used
MR3TO5_001,FORM_BB536_MCC1274; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium longum BB536; Bifidobacterium breve MCC1274,5,overweight/obesity; visceral fat accumulation; lipid-risk subgroup,LF_K7; LF_K8; LF_K11; BL_BB536; BB_MCC1274,5-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 37447365; 38542727,,37447365; 38542727,pending_genome_safety_gate,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,5.40,9.21,9.70,0.00,10.00,8.00,10.00,9.62,5.40,8.00,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",0.9619,study_endpoint_level_not_individual_microbiome,clinical_outcome.structured_effects,37447365; 38542727
MR3TO5_002,FORM_BB536_MCC1274; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium longum BB536,4,overweight/obesity; visceral fat accumulation; lipid-risk subgroup,LF_K7; LF_K8; LF_K11; BL_BB536,4-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 37447365; 38542727,,37447365; 38542727,pending_genome_safety_gate,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,5.37,8.18,9.00,0.45,7.50,8.00,10.00,9.62,5.37,7.63,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",0.9619,study_endpoint_level_not_individual_microbiome,clinical_outcome.structured_effects,37447365; 38542727
MR3TO5_003,FORM_BB536_MCC1274; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium breve MCC1274,4,overweight/obesity; visceral fat accumulation; lipid-risk subgroup,LF_K7; LF_K8; LF_K11; BB_MCC1274,4-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 37447365; 38542727,,37447365; 38542727,pending_genome_safety_gate,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,5.37,8.18,9.00,0.45,7.50,8.00,10.00,9.62,5.37,7.63,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",0.9619,study_endpoint_level_not_individual_microbiome,clinical_outcome.structured_effects,37447365; 38542727
MR3TO5_004,FORM_BB536_MCC1274; FORM_BBR60; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium longum BB536; Bifidobacterium breve BBr60,5,overweight/obesity; visceral fat accumulation; lipid-risk subgroup; glucose-risk subgroup,LF_K7; LF_K8; LF_K11; BL_BB536; BB_BBr60,5-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 37447365; 38542727; 39456659,,37447365; 38542727; 39456659,pending_genome_safety_gate,BMI; SCFA_network; amino_acid_metabolism; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; glucose; lipid; visceral_fat; waist; weight,5.07,8.77,9.80,0.45,7.50,9.00,10.00,8.70,5.07,7.45,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",0.8700,study_endpoint_level_not_individual_microbiome,clinical_outcome.structured_effects,37447365; 38542727; 39456659
MR3TO5_005,FORM_BB536_MCC1274; FORM_BBR60; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium breve MCC1274; Bifidobacterium breve BBr60,5,overweight/obesity; visceral fat accumulation; lipid-risk subgroup; glucose-risk subgroup,LF_K7; LF_K8; LF_K11; BB_MCC1274; BB_BBr60,5-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 37447365; 38542727; 39456659,,37447365; 38542727; 39456659,pending_genome_safety_gate,BMI; SCFA_network; amino_acid_metabolism; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; glucose; lipid; visceral_fat; waist; weight,5.07,8.77,9.80,0.45,7.50,9.00,10.00,8.70,5.07,7.45,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",0.8700,study_endpoint_level_not_individual_microbiome,clinical_outcome.structured_effects,37447365; 38542727; 39456659
MR3TO5_006,FORM_BBR60; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium breve BBr60,4,overweight/obesity; glucose-risk subgroup,LF_K7; LF_K8; LF_K11; BB_BBr60,4-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 37447365; 39456659,,37447365; 39456659,pending_genome_safety_gate,BMI; SCFA_network; amino_acid_metabolism; bifidobacterium_niche; body_fat; carbohydrate_utilization; glucose; waist; weight,5.97,8.12,7.30,0.00,7.50,8.00,10.00,8.21,5.97,7.39,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",0.8213,study_endpoint_level_not_individual_microbiome,clinical_outcome.structured_effects,37447365; 39456659
MR3TO5_007,FORM_IDCC4301; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium lactis IDCC 4301,4,overweight/obesity; lipid-risk subgroup,LF_K7; LF_K8; LF_K11; BL_IDCC4301,4-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 37447365; 39051504,,37447365; 39051504,pending_genome_safety_gate,BMI; SCFA_network; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; waist; weight,6.28,7.82,7.50,0.00,7.50,7.00,10.00,8.03,6.28,7.34,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",0.8028,study_endpoint_level_not_individual_microbiome,clinical_outcome.structured_effects,37447365; 39051504
MR3TO5_008,FORM_B420_LU; FORM_IDCC4301; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium lactis IDCC 4301; Bifidobacterium animalis subsp. lactis B420,5,overweight/obesity; lipid-risk subgroup,LF_K7; LF_K8; LF_K11; BL_IDCC4301; BL_B420,5-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 27810310; 37447365; 39051504,,27810310; 37447365; 39051504,pending_genome_safety_gate,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; fiber_response; lipid; waist; weight,5.66,8.78,9.00,0.00,7.50,9.00,10.00,7.56,5.66,7.32,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional; polydextrose/Litesse Ultra,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",0.7560,study_endpoint_level_not_individual_microbiome,clinical_outcome.structured_effects,27810310; 37447365; 39051504
MR3TO5_009,FORM_BB536_MCC1274; FORM_IDCC4301; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium lactis IDCC 4301; Bifidobacterium longum BB536,5,overweight/obesity; visceral fat accumulation; lipid-risk subgroup,LF_K7; LF_K8; LF_K11; BL_IDCC4301; BL_BB536,5-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 37447365; 38542727; 39051504,,37447365; 38542727; 39051504,pending_genome_safety_gate,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,5.32,8.18,9.00,0.45,7.50,8.00,10.00,8.58,5.32,7.30,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",0.8577,study_endpoint_level_not_individual_microbiome,clinical_outcome.structured_effects,37447365; 38542727; 39051504
MR3TO5_010,FORM_BB536_MCC1274; FORM_IDCC4301; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium lactis IDCC 4301; Bifidobacterium breve MCC1274,5,overweight/obesity; visceral fat accumulation; lipid-risk subgroup,LF_K7; LF_K8; LF_K11; BL_IDCC4301; BB_MCC1274,5-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 37447365; 38542727; 39051504,,37447365; 38542727; 39051504,pending_genome_safety_gate,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,5.32,8.18,9.00,0.45,7.50,8.00,10.00,8.58,5.32,7.30,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",0.8577,study_endpoint_level_not_individual_microbiome,clinical_outcome.structured_effects,37447365; 38542727; 39051504
