combination_id,formulation_blocks,strains,total_strain_count,target_population,source_strain_ids,evidence_summary,evidence_doi_list,evidence_pmid_list,safety_gate,functional_modules,clinical_evidence_score,combination_design_score,synergy_score,split_evidence_penalty,original_formulation_recovery_score,complementarity_score,microbiome_matching_score,predicted_response_score,literature_evidence_score,ranking_type,hypothesis_priority,safety_eligible_for_validation,validation_priority,recommended_prebiotic,notes,predicted_response_probability,response_model_level,response_model_source,response_model_pmids_used
MR3TO5_001,FORM_BB536_MCC1274; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium longum BB536; Bifidobacterium breve MCC1274,5,overweight/obesity; visceral fat accumulation; lipid-risk subgroup,LF_K7; LF_K8; LF_K11; BL_BB536; BB_MCC1274,5-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 37447365; 38542727,,37447365; 38542727,pending_genome_safety_gate,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,5.40,9.21,9.70,0.00,10.00,8.00,10.00,,5.40,preclinical_hypothesis_not_response_probability,7.49,no,,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",,no_matching_model_evidence,,
MR3TO5_002,FORM_B420_LU; FORM_IDCC4301; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium lactis IDCC 4301; Bifidobacterium animalis subsp. lactis B420,5,overweight/obesity; lipid-risk subgroup,LF_K7; LF_K8; LF_K11; BL_IDCC4301; BL_B420,5-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 27810310; 37447365; 39051504,,27810310; 37447365; 39051504,pending_genome_safety_gate,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; fiber_response; lipid; waist; weight,5.66,8.78,9.00,0.00,7.50,9.00,10.00,,5.66,preclinical_hypothesis_not_response_probability,7.38,no,,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional; polydextrose/Litesse Ultra,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",,no_matching_model_evidence,,
MR3TO5_003,FORM_BBR60; FORM_IDCC4301; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium lactis IDCC 4301; Bifidobacterium breve BBr60,5,overweight/obesity; lipid-risk subgroup; glucose-risk subgroup,LF_K7; LF_K8; LF_K11; BL_IDCC4301; BB_BBr60,5-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 37447365; 39051504; 39456659,,37447365; 39051504; 39456659,pending_genome_safety_gate,BMI; SCFA_network; amino_acid_metabolism; bifidobacterium_niche; body_fat; carbohydrate_utilization; glucose; lipid; waist; weight,5.80,8.41,8.30,0.00,7.50,8.00,10.00,,5.80,preclinical_hypothesis_not_response_probability,7.24,no,,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",,no_matching_model_evidence,,
MR3TO5_004,FORM_B420_LU; FORM_BBR60; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium animalis subsp. lactis B420; Bifidobacterium breve BBr60,5,overweight/obesity; glucose-risk subgroup,LF_K7; LF_K8; LF_K11; BL_B420; BB_BBr60,5-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 27810310; 37447365; 39456659,,27810310; 37447365; 39456659,pending_genome_safety_gate,BMI; SCFA_network; amino_acid_metabolism; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; fiber_response; glucose; waist; weight,5.42,8.71,8.80,0.00,7.50,9.00,10.00,,5.42,preclinical_hypothesis_not_response_probability,7.23,no,,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional; polydextrose/Litesse Ultra,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",,no_matching_model_evidence,,
MR3TO5_005,FORM_BBR60; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium breve BBr60,4,overweight/obesity; glucose-risk subgroup,LF_K7; LF_K8; LF_K11; BB_BBr60,4-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 37447365; 39456659,,37447365; 39456659,pending_genome_safety_gate,BMI; SCFA_network; amino_acid_metabolism; bifidobacterium_niche; body_fat; carbohydrate_utilization; glucose; waist; weight,5.97,8.12,7.30,0.00,7.50,8.00,10.00,,5.97,preclinical_hypothesis_not_response_probability,7.15,no,,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",,no_matching_model_evidence,,
MR3TO5_006,FORM_IDCC4301; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium lactis IDCC 4301,4,overweight/obesity; lipid-risk subgroup,LF_K7; LF_K8; LF_K11; BL_IDCC4301,4-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 37447365; 39051504,,37447365; 39051504,pending_genome_safety_gate,BMI; SCFA_network; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; waist; weight,6.28,7.82,7.50,0.00,7.50,7.00,10.00,,6.28,preclinical_hypothesis_not_response_probability,7.13,no,,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",,no_matching_model_evidence,,
MR3TO5_007,FORM_BB536_MCC1274; FORM_BBR60; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium longum BB536; Bifidobacterium breve BBr60,5,overweight/obesity; visceral fat accumulation; lipid-risk subgroup; glucose-risk subgroup,LF_K7; LF_K8; LF_K11; BL_BB536; BB_BBr60,5-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 37447365; 38542727; 39456659,,37447365; 38542727; 39456659,pending_genome_safety_gate,BMI; SCFA_network; amino_acid_metabolism; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; glucose; lipid; visceral_fat; waist; weight,5.07,8.77,9.80,0.45,7.50,9.00,10.00,,5.07,preclinical_hypothesis_not_response_probability,7.10,no,,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",,no_matching_model_evidence,,
MR3TO5_008,FORM_BB536_MCC1274; FORM_BBR60; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium breve MCC1274; Bifidobacterium breve BBr60,5,overweight/obesity; visceral fat accumulation; lipid-risk subgroup; glucose-risk subgroup,LF_K7; LF_K8; LF_K11; BB_MCC1274; BB_BBr60,5-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 37447365; 38542727; 39456659,,37447365; 38542727; 39456659,pending_genome_safety_gate,BMI; SCFA_network; amino_acid_metabolism; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; glucose; lipid; visceral_fat; waist; weight,5.07,8.77,9.80,0.45,7.50,9.00,10.00,,5.07,preclinical_hypothesis_not_response_probability,7.10,no,,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",,no_matching_model_evidence,,
MR3TO5_009,FORM_BBR60; FORM_BC99; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium breve BBr60; Bacillus coagulans BC99,5,overweight/obesity; glucose-risk subgroup,LF_K7; LF_K8; LF_K11; BB_BBr60; BC_BC99,5-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 37447365; 39456659; 40416368,,37447365; 39456659; 40416368,pending_genome_safety_gate,BMI; SCFA_network; amino_acid_metabolism; bifidobacterium_niche; body_fat; carbohydrate_utilization; glucose; microbiome_shift; spore_former; waist; weight; weight_subgroup,5.08,8.64,7.30,0.00,7.50,9.50,10.00,,5.08,preclinical_hypothesis_not_response_probability,7.04,no,,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional; none specified,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",,no_matching_model_evidence,,
MR3TO5_010,FORM_BBR60; FORM_BN202M; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium breve BBr60; Lacticaseibacillus paracasei BEPC22,5,overweight/obesity; lipid-risk subgroup; glucose-risk subgroup,LF_K7; LF_K8; LF_K11; BB_BBr60; LP_BEPC22,5-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 37447365; 38999741; 39456659,,37447365; 38999741; 39456659,pending_genome_safety_gate,BMI; SCFA_network; amino_acid_metabolism; bifidobacterium_niche; body_fat; carbohydrate_utilization; cross_feeding; glucose; lipid_metabolism; waist; weight,5.01,8.64,8.80,0.45,7.50,9.50,10.00,,5.01,preclinical_hypothesis_not_response_probability,7.01,no,,FOS/GOS optional; acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",,no_matching_model_evidence,,
