rank,members,n_strains,mean_v3,has_strong_bsh,has_strong_crossfeeder,n_genera,clinical_members,cohort_supported_members,composite_v3
1,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum,2,0.866,True,True,2,2,0,0.9035
2,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Lactobacillus_ruminis,3,0.8312,True,True,3,2,0,0.8784
3,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Lactobacillus_rogosae,3,0.8312,True,True,3,2,0,0.8784
4,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Lactobacillus_gasseri,3,0.8312,True,True,3,2,0,0.8784
5,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Lactobacillus_crispatus,3,0.8312,True,True,3,2,0,0.8784
6,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Lactobacillus_helveticus,3,0.8312,True,True,3,2,0,0.8784
7,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Lactobacillus_johnsonii,3,0.8312,True,True,3,2,0,0.8784
8,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Limosilactobacillus_fermentum,3,0.8312,True,True,3,2,0,0.8784
9,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Limosilactobacillus_reuteri,3,0.8312,True,True,3,2,0,0.8784
10,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Lactobacillus_acidophilus,3,0.8312,True,True,3,2,0,0.8784
11,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Bifidobacterium_animalis,3,0.827,True,True,3,3,1,0.8754
12,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Bifidobacterium_longum,3,0.827,True,True,3,3,1,0.8754
13,Lactiplantibacillus_plantarum; Lacticaseibacillus_casei,2,0.8173,True,True,2,1,0,0.8684
14,Lactiplantibacillus_plantarum; Lacticaseibacillus_rhamnosus,2,0.8173,True,True,2,1,0,0.8684
15,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Limosilactobacillus_reuteri; Lactobacillus_johnsonii,4,0.8137,True,True,4,2,0,0.8659
16,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Limosilactobacillus_reuteri; Lactobacillus_helveticus,4,0.8137,True,True,4,2,0,0.8659
17,Lacticaseibacillus_paracasei; Lactiplantibacillus_plantarum; Lactobacillus_gasseri; Limosilactobacillus_fermentum,4,0.8137,True,True,4,2,0,0.8659
