hypothesis_id,members,n_strains,mechanisms_covered,n_mechanisms,lactate_to_butyrate_crossfeeding,includes_qps_deliverable_anchor,includes_depleted_protective_taxon,design_complementarity_score,predicted_response_score,ranking_type,combination_safety_gate,rationale
MECHCOMBO_001,Bifidobacterium_longum; Anaerostipes_hadrus; Phascolarctobacterium_faecium; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate; propionate,4,yes,yes,yes,7.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 4 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_002,Lactobacillus_acidophilus; Anaerostipes_hadrus; Parabacteroides_distasonis; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate; propionate,4,yes,yes,yes,7.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 4 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_003,Lactobacillus_acidophilus; Anaerostipes_hadrus; Phascolarctobacterium_faecium; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate; propionate,4,yes,yes,yes,7.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 4 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_004,Lacticaseibacillus_rhamnosus; Anaerostipes_hadrus; Phascolarctobacterium_faecium; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate; propionate,4,yes,yes,yes,7.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 4 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_005,Lacticaseibacillus_rhamnosus; Anaerostipes_hadrus; Parabacteroides_distasonis; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate; propionate,4,yes,yes,yes,7.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 4 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_006,Bifidobacterium_longum; Anaerostipes_hadrus; Parabacteroides_distasonis; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate; propionate,4,yes,yes,yes,7.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 4 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_007,Bifidobacterium_longum; Lacticaseibacillus_rhamnosus; Anaerostipes_hadrus; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_008,Bifidobacterium_longum; Lacticaseibacillus_rhamnosus; Anaerostipes_hadrus; Parabacteroides_distasonis,4,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_009,Bifidobacterium_longum; Lacticaseibacillus_rhamnosus; Anaerostipes_hadrus; Phascolarctobacterium_faecium,4,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_010,Bifidobacterium_longum; Anaerostipes_hadrus; Faecalibacterium_prausnitzii; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
