rank,region,members,n_strains,axes,n_axes,n_universal_members,diversity_mean,effect_mean,culturability_mean,composite
1,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis,3,propionate+mucin,2,0,0.363,0.206,0.8,0.7556
2,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Alistipes_putredinis,3,propionate+mucin,2,0,0.314,0.286,0.85,0.7541
3,西欧,Barnesiella_intestinihominis; Alistipes_putredinis; Akkermansia_muciniphila,3,propionate+mucin,2,1,0.323,0.263,0.867,0.7533
4,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis,4,propionate+mucin,2,0,0.324,0.25,0.837,0.7466
5,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Akkermansia_muciniphila,4,propionate+mucin,2,1,0.331,0.233,0.85,0.746
6,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Alistipes_putredinis; Akkermansia_muciniphila,4,propionate+mucin,2,1,0.294,0.293,0.887,0.7448
7,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Akkermansia_muciniphila,5,propionate+mucin,2,1,0.306,0.263,0.87,0.7406
8,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Odoribacter_splanchnicus,3,propionate+mucin,2,0,0.315,0.251,0.85,0.7403
9,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Akkermansia_muciniphila,3,propionate+mucin,2,1,0.323,0.228,0.867,0.7395
10,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Akkermansia_muciniphila,3,propionate+mucin,2,1,0.274,0.308,0.917,0.738
11,西欧,Bacteroides_cellulosilyticus; Odoribacter_splanchnicus; Alistipes_putredinis,3,propionate+mucin,2,0,0.306,0.258,0.85,0.7362
12,西欧,Odoribacter_splanchnicus; Alistipes_putredinis; Akkermansia_muciniphila,3,propionate+mucin,2,1,0.314,0.235,0.867,0.7354
13,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Akkermansia_muciniphila,4,propionate+mucin,2,1,0.294,0.267,0.887,0.7345
14,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Alistipes_putredinis,3,propionate+mucin,2,0,0.307,0.249,0.85,0.7339
