species,coef_obese_log10,p,fdr,direction,fold_change_obese_vs_lean,meta_g,ci_low,ci_high,I2_percent,k_studies,ci_excludes_zero,robust,region,tier,genus,diversity_rho,butyrate,propionate,mucin,culturability_class,culturability_score,spore_former,oral_origin,diversity_score,effect_score,propionate_score,scope
Bifidobacterium_animalis,-0.2039591231522585,0.0002897214992633,0.003603411147088,lean_enriched,0.625,0.18,-0.048,0.409,58.2,7.0,False,False,西欧,robust_capable,Bifidobacterium,0.07551586109988892,0.0,0.0,0.0,culturable_easy,0.95,0,0,0.19872595026286557,0.33993187192043084,0.0,西欧特有
Bifidobacterium_longum,-0.1855720924812996,0.0082631792533467,0.0421634018311797,lean_enriched,0.652,0.141,-0.056,0.337,44.7,7.0,False,False,西欧,robust_capable,Bifidobacterium,0.11192369302995453,0.0,0.0,0.0,culturable_easy,0.95,0,0,0.29453603428935404,0.309286820802166,0.0,西欧特有
Bacteroides_cellulosilyticus,-0.3822175397475802,1.094990406697106e-05,0.0003112901299038,lean_enriched,0.415,0.311,0.18,0.443,0.3,7.0,True,True,西欧,robust_capable,Bacteroides,0.2087307362892497,0.0,2.0,1.0,culturable_easy,0.95,0,0,0.5492914112874993,0.6370292329126337,1.0,西欧特有
Bacteroides_dorei,-0.27281371912964,0.0051507306399108,0.0292855827812073,lean_enriched,0.534,0.176,0.009,0.343,27.3,7.0,True,True,西欧,robust_capable,Bacteroides,0.18720772674505415,0.0,2.0,1.0,culturable_easy,0.95,0,0,0.4926519124869846,0.4546895318827333,1.0,西欧特有
Bacteroides_intestinalis,-0.2151715497854958,0.0031854541801421,0.0231902655149946,lean_enriched,0.609,0.224,0.028,0.42,44.2,7.0,True,True,西欧,robust_capable,Bacteroides,0.15196454306930662,0.0,2.0,1.0,culturable_easy,0.95,0,0,0.399906692287649,0.35861924964249303,1.0,跨地区通用
Bacteroides_salyersiae,-0.1758487016230466,0.0044581088783295,0.0268837474784115,lean_enriched,0.667,0.201,0.07,0.332,0.0,7.0,True,True,西欧,robust_capable,Bacteroides,0.1588499277343407,0.0,2.0,1.0,culturable_easy,0.95,0,0,0.41802612561668606,0.2930811693717444,1.0,跨地区通用
Barnesiella_intestinihominis,-0.2275980821654658,0.0034521509149618,0.0231902655149946,lean_enriched,0.592,0.185,0.032,0.338,17.6,7.0,True,True,西欧,robust_capable,Barnesiella,0.3808313122146625,0.0,2.0,1.0,culturable_anaerobe,0.8,0,0,1.0,0.379330136942443,1.0,西欧特有
Odoribacter_splanchnicus,-0.1434653703580784,0.0075903517509409,0.0401403952450619,lean_enriched,0.719,0.158,0.004,0.311,18.0,7.0,True,True,西欧,robust_capable,Odoribacter,0.3544894032352379,0.0,2.0,0.0,culturable_anaerobe,0.8,0,0,0.9328668506190472,0.23910895059679735,1.0,西欧特有
Alistipes_indistinctus,-0.2060593179711561,0.0007084249345479,0.0078320312208361,lean_enriched,0.622,0.218,0.087,0.349,0.0,7.0,True,True,西欧,robust_capable,Alistipes,0.19833339428238922,0.0,2.0,0.0,culturable_anaerobe,0.8,0,0,0.5219299849536558,0.3434321966185935,1.0,跨地区通用
Alistipes_putredinis,-0.2480556714273932,0.0033506252886863,0.0231902655149946,lean_enriched,0.565,0.198,0.067,0.329,0.0,7.0,True,True,西欧,robust_capable,Alistipes,0.3539114569853186,0.0,2.0,0.0,culturable_anaerobe,0.8,0,0,0.931345939435049,0.41342611904565535,1.0,西欧特有
Parabacteroides_goldsteinii,-0.1421120151594875,0.0034560527872856,0.0231902655149946,lean_enriched,0.721,0.213,0.078,0.349,0.0,5.0,True,True,西欧,robust_capable,Parabacteroides,0.037654177071025655,0.0,2.0,0.0,culturable_easy,0.9,0,0,0.09908993966059383,0.23685335859914583,1.0,跨地区通用
Intestinimonas_butyriciproducens,-0.1850656861804633,6.39158337204115e-05,0.0010509235884873,lean_enriched,0.653,0.267,0.131,0.403,4.0,7.0,True,True,西欧,robust_capable,Intestinimonas,0.1660138935742366,2.0,0.0,0.0,culturable_anaerobe,0.75,1,0,0.43687866730062264,0.30844281030077214,0.0,西欧特有
Eubacterium_eligens,-0.3060404350143065,5.669796214018294e-05,0.0010509235884873,lean_enriched,0.494,0.271,0.14,0.402,0.0,7.0,True,True,西欧,robust_capable,Eubacterium,0.29776404249877314,0.0,0.0,0.0,culturable_anaerobe,0.85,1,0,0.7835895855230872,0.5100673916905109,0.0,西欧特有
Butyrivibrio_crossotus,-0.3552587154079902,6.660926247160276e-05,0.0010509235884873,lean_enriched,0.441,0.277,0.146,0.408,0.0,7.0,True,True,西欧,robust_capable,Butyrivibrio,0.046432629940919304,2.0,0.0,0.0,culturable_anaerobe,0.8,1,0,0.12219113142347185,0.592097859013317,0.0,跨地区通用
Eubacterium_siraeum,-0.3326724183721132,6.865329975043101e-05,0.0010509235884873,lean_enriched,0.465,0.261,0.13,0.392,0.0,7.0,True,True,西欧,robust_capable,Eubacterium,0.23903571525679546,0.0,0.0,0.0,culturable_anaerobe,0.85,1,0,0.6290413559389354,0.5544540306201887,0.0,跨地区通用
Ruminococcus_lactaris,-0.2468148268480054,0.0049170062704242,0.0287789484651301,lean_enriched,0.566,0.187,0.056,0.318,0.0,7.0,True,True,西欧,robust_capable,Ruminococcus,0.17156539795696474,0.0,0.0,1.0,named_isolate_likely,0.65,1,0,0.4514878893604335,0.4113580447466757,0.0,西欧特有
Turicibacter_sanguinis,-0.1609624469372795,0.0057442487450239,0.0317529305627711,lean_enriched,0.69,0.18,0.049,0.31,0.0,7.0,True,True,西欧,robust_capable,Turicibacter,0.11881758872425975,0.0,0.0,0.0,named_isolate_likely,0.65,1,0,0.31267786506384143,0.2682707448954659,0.0,跨地区通用
Victivallis_vadensis,-0.1076810899680822,0.0085806980302189,0.0426889727003395,lean_enriched,0.78,0.122,-0.118,0.363,62.3,7.0,False,False,西欧,robust_capable,Victivallis,0.19235259853340642,0.0,0.0,0.0,named_isolate_likely,0.65,0,0,0.5061910487721222,0.179468483280137,0.0,跨地区通用
Fretibacterium_fastidiosum,-0.0583795982800473,0.0007904833369428,0.0078653092025814,lean_enriched,0.874,0.315,0.115,0.515,24.5,5.0,True,True,西欧,robust_capable,Fretibacterium,0.0012979261239818036,0.0,0.0,0.0,named_isolate_likely,0.65,0,0,0.0034155950631100094,0.0972993304667455,0.0,西欧特有
Akkermansia_muciniphila,-0.3143715739479246,0.0014685608089744,0.012885152284572,lean_enriched,0.485,0.175,-0.03,0.38,48.8,7.0,False,False,西欧,robust_capable,Akkermansia,0.23376545252667566,0.0,2.0,2.0,culturable_commercial,1.0,0,0,0.6151722434912518,0.523952623246541,1.0,跨地区通用
Bacteroides_nordii,-0.1736396080982739,0.0142735155879029,0.0383908350295321,lean_enriched,0.67,,,,,,,False,北美,robust_capable,Bacteroides,0.2545448317120771,0.0,2.0,1.0,culturable_easy,0.95,0,0,0.6698548202949397,0.2893993468304565,1.0,北美特有
Coprobacter_fastidiosus,-0.265313192423438,0.0153765642369663,0.0405173604126647,lean_enriched,0.543,,,,,,,False,北美,robust_capable,Coprobacter,0.24553159508451022,0.0,2.0,0.0,culturable_anaerobe,0.7,0,0,0.6461357765381848,0.4421886540390633,1.0,北美特有
Blautia_producta,-0.3290023327244715,0.0012226641361657,0.0054310713507716,lean_enriched,0.469,0.163,-0.644,0.97,79.5,3.0,False,False,北美,robust_capable,Blautia,-0.20818545562724874,0.0,0.0,0.0,named_isolate_likely,0.65,1,0,0.0,0.5483372212074525,0.0,北美特有
Coprococcus_eutactus,-0.5102527719331132,0.0063713725401623,0.0194889042404966,lean_enriched,0.309,0.531,0.186,0.877,0.0,3.0,True,True,北美,robust_capable,Coprococcus,0.3346031276279699,2.0,0.0,0.0,culturable_anaerobe,0.8,1,0,0.8805345463893944,0.8504212865551888,0.0,北美特有
Clostridium_clostridioforme,-0.4293905138869581,0.0016643625842726,0.0068326463985931,lean_enriched,0.372,0.096,-0.8,0.992,83.3,3.0,False,False,北美,robust_capable,Clostridium,-0.2972660857149276,0.0,0.0,0.0,culturable_anaerobe,0.8,1,0,0.0,0.7156508564782635,0.0,北美特有
Clostridium_symbiosum,-0.3843138590918467,0.0182825447788664,0.0467553604180845,lean_enriched,0.413,0.272,-0.179,0.723,36.9,3.0,False,False,北美,robust_capable,Clostridium,-0.05516524989445949,0.0,0.0,0.0,culturable_anaerobe,0.8,1,0,0.0,0.6405230984864112,0.0,北美特有
Sellimonas_intestinalis,-0.2814556498467399,0.0063416999451099,0.0194889042404966,lean_enriched,0.523,0.443,0.1,0.786,0.0,3.0,True,True,北美,robust_capable,Sellimonas,-0.1757751690989552,0.0,0.0,0.0,named_isolate_likely,0.65,0,0,0.0,0.4690927497445665,0.0,北美特有
Intestinibacter_bartlettii,-0.4025514341832223,0.0024220688698359,0.0092156766754733,lean_enriched,0.396,0.488,0.143,0.832,0.0,3.0,True,True,北美,robust_capable,Intestinibacter,0.15639940306688857,0.0,0.0,0.0,named_isolate_likely,0.65,0,0,0.41157737649181203,0.6709190569720372,0.0,北美特有
Eubacterium_siraeum,-0.6666845932666233,0.0087770238373623,0.025704776026121,lean_enriched,0.215,0.228,-0.926,1.381,89.6,3.0,False,False,北美,robust_capable,Eubacterium,0.40375738101144526,0.0,0.0,0.0,culturable_anaerobe,0.85,1,0,1.0,1.0,0.0,跨地区通用
Clostridium_innocuum,-0.4404933420960882,0.003241098855928,0.0114911686710175,lean_enriched,0.363,0.243,-0.398,0.885,67.7,3.0,False,False,北美,robust_capable,Clostridium,-0.027593848236997537,0.0,0.0,0.0,culturable_anaerobe,0.8,1,0,0.0,0.734155570160147,0.0,北美特有
Erysipelatoclostridium_ramosum,-0.3735573830335389,0.0038091727941848,0.0132051323531742,lean_enriched,0.423,0.039,-0.942,1.02,85.9,3.0,False,False,北美,robust_capable,Erysipelatoclostridium,-0.237815385214656,0.0,0.0,0.0,named_isolate_likely,0.65,0,0,0.0,0.6225956383892316,0.0,北美特有
Turicibacter_sanguinis,-0.3138374390031959,0.0020615571557286,0.0080400729073416,lean_enriched,0.485,0.497,-0.113,1.107,63.8,3.0,False,False,北美,robust_capable,Turicibacter,-0.10133746136543957,0.0,0.0,0.0,named_isolate_likely,0.65,1,0,0.0,0.5230623983386599,0.0,跨地区通用
Veillonella_infantium,-0.4075350021444911,0.0059989889287795,0.0190988218957062,lean_enriched,0.391,0.305,-0.183,0.793,45.5,3.0,False,False,北美,robust_capable,Veillonella,-0.06955023109346342,0.0,2.0,0.0,named_isolate_likely,0.65,0,1,0.0,0.6792250035741519,1.0,北美特有
Veillonella_parvula,-0.653309277837789,7.59730578733866e-05,0.0005925898514124,lean_enriched,0.222,0.558,0.051,1.065,48.0,3.0,True,True,北美,robust_capable,Veillonella,-0.15931224369614683,0.0,2.0,0.0,named_isolate_likely,0.65,0,1,0.0,1.0,1.0,北美特有
Bifidobacterium_catenulatum,-0.3148450767507416,0.0018493630204479,0.0194183117147039,lean_enriched,0.484,,,,,,False,False,中东,adjusted_only_single_study,Bifidobacterium,0.07816210454950978,0.0,0.0,0.0,culturable_easy,0.95,0,0,0.20568974881449942,0.5247417945845694,0.0,中东特有
Bacteroides_intestinalis,-0.4169302531275818,5.727842168500421e-05,0.0016440913586594,lean_enriched,0.383,,,,,,False,False,中东,adjusted_only_single_study,Bacteroides,0.2243799525896802,0.0,2.0,1.0,culturable_easy,0.95,0,0,0.5904735594465268,0.6948837552126363,1.0,跨地区通用
Bacteroides_salyersiae,-0.4078816590441699,0.0025142151613101,0.0215993938858009,lean_enriched,0.391,,,,,,False,False,中东,adjusted_only_single_study,Bacteroides,0.14604153785565221,0.0,2.0,1.0,culturable_easy,0.95,0,0,0.38431983646224266,0.6798027650736165,1.0,跨地区通用
