robust_rank,combination_id,strains,source_strain_ids,total_strain_count,retained_formulations,partial_formulations,evidence_pmid_list,functional_modules,posterior_score_mean,posterior_score_p10,posterior_score_p90,top10_probability,rank_mean,rank_p90,clinical_evidence_mean,clinical_evidence_p10,module_coverage_score,formulation_integrity_score,evidence_independence_score,genus_diversity_score,split_evidence_penalty,complexity_penalty,safety_gate,prediction_scope,recommended_prebiotic,validation_recommendation
1,ROBUST_001,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium lactis IDCC 4301; Bifidobacterium animalis subsp. lactis B420,LF_K7; LF_K8; LF_K11; BL_IDCC4301; BL_B420,5,FORM_LF_K7_K8_K11; FORM_IDCC4301; FORM_B420_LU,,27810310; 37447365; 39051504,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; fiber_response; lipid; waist; weight,7.350,6.624,8.047,0.6172,15.25,39.00,6.774,5.276,10.000,10.000,10.000,5.000,0.000,0.700,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional; polydextrose/Litesse Ultra,complete strain-resolved genome AMR/virulence/MGE screening before validation
2,ROBUST_002,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium breve BBr60,LF_K7; LF_K8; LF_K11; BB_BBr60,4,FORM_LF_K7_K8_K11; FORM_BBR60,,37447365; 39456659,BMI; SCFA_network; amino_acid_metabolism; bifidobacterium_niche; body_fat; carbohydrate_utilization; glucose; waist; weight,7.305,6.535,8.058,0.5466,21.91,57.00,6.999,5.363,9.200,10.000,6.667,5.000,0.000,0.350,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,complete strain-resolved genome AMR/virulence/MGE screening before validation
3,ROBUST_003,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium animalis subsp. lactis B420; Bifidobacterium breve BBr60,LF_K7; LF_K8; LF_K11; BL_B420; BB_BBr60,5,FORM_LF_K7_K8_K11; FORM_B420_LU; FORM_BBR60,,27810310; 37447365; 39456659,BMI; SCFA_network; amino_acid_metabolism; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; fiber_response; glucose; waist; weight,7.267,6.542,7.967,0.5372,18.12,44.00,6.592,5.125,10.000,10.000,10.000,5.000,0.000,0.700,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional; polydextrose/Litesse Ultra,complete strain-resolved genome AMR/virulence/MGE screening before validation
4,ROBUST_004,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium lactis IDCC 4301,LF_K7; LF_K8; LF_K11; BL_IDCC4301,4,FORM_LF_K7_K8_K11; FORM_IDCC4301,,37447365; 39051504,BMI; SCFA_network; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; waist; weight,7.270,6.479,8.009,0.5250,24.08,62.00,7.272,5.609,8.400,10.000,6.667,5.000,0.000,0.350,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,complete strain-resolved genome AMR/virulence/MGE screening before validation
5,ROBUST_005,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium breve BBr60; Bacillus coagulans BC99,LF_K7; LF_K8; LF_K11; BB_BBr60; BC_BC99,5,FORM_LF_K7_K8_K11; FORM_BBR60; FORM_BC99,,37447365; 39456659; 40416368,BMI; SCFA_network; amino_acid_metabolism; bifidobacterium_niche; body_fat; carbohydrate_utilization; glucose; microbiome_shift; spore_former; waist; weight; weight_subgroup,7.233,6.476,7.968,0.5138,20.41,50.00,5.957,4.396,10.000,10.000,10.000,7.500,0.000,0.700,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional; none specified,complete strain-resolved genome AMR/virulence/MGE screening before validation
6,ROBUST_006,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium longum BB536; Bifidobacterium breve MCC1274,LF_K7; LF_K8; LF_K11; BL_BB536; BB_MCC1274,5,FORM_LF_K7_K8_K11; FORM_BB536_MCC1274,,37447365; 38542727,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,7.130,6.368,7.830,0.4324,33.88,88.00,7.387,5.752,9.200,10.000,6.667,5.000,0.000,0.700,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,complete strain-resolved genome AMR/virulence/MGE screening before validation
7,ROBUST_007,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium lactis IDCC 4301; Bifidobacterium breve BBr60,LF_K7; LF_K8; LF_K11; BL_IDCC4301; BB_BBr60,5,FORM_LF_K7_K8_K11; FORM_IDCC4301; FORM_BBR60,,37447365; 39051504; 39456659,BMI; SCFA_network; amino_acid_metabolism; bifidobacterium_niche; body_fat; carbohydrate_utilization; glucose; lipid; waist; weight,7.166,6.474,7.817,0.4250,22.76,54.00,6.720,5.306,9.200,10.000,10.000,5.000,0.000,0.700,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,complete strain-resolved genome AMR/virulence/MGE screening before validation
8,ROBUST_008,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium lactis IDCC 4301; Bacillus coagulans BC99,LF_K7; LF_K8; LF_K11; BL_IDCC4301; BC_BC99,5,FORM_LF_K7_K8_K11; FORM_IDCC4301; FORM_BC99,,37447365; 39051504; 40416368,BMI; SCFA_network; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; microbiome_shift; spore_former; waist; weight; weight_subgroup,7.156,6.431,7.882,0.4218,23.96,58.00,6.139,4.618,9.200,10.000,10.000,7.500,0.000,0.700,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional; none specified,complete strain-resolved genome AMR/virulence/MGE screening before validation
9,ROBUST_009,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium animalis subsp. lactis B420,LF_K7; LF_K8; LF_K11; BL_B420,4,FORM_LF_K7_K8_K11; FORM_B420_LU,,27810310; 37447365,BMI; SCFA_network; barrier; body_fat; carbohydrate_utilization; fiber_response; waist; weight,7.102,6.284,7.894,0.4048,35.49,93.10,7.079,5.274,8.000,10.000,6.667,5.000,0.000,0.350,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,acacia gum optional; probiotic arm strongest without synbiotic advantage; polydextrose/Litesse Ultra,complete strain-resolved genome AMR/virulence/MGE screening before validation
10,ROBUST_010,Bifidobacterium lactis IDCC 4301; Bifidobacterium breve BBr60; Lacticaseibacillus paracasei BEPC22; Lactiplantibacillus plantarum BELP53,BL_IDCC4301; BB_BBr60; LP_BEPC22; LPL_BELP53,4,FORM_IDCC4301; FORM_BBR60; FORM_BN202M,,38999741; 39051504; 39456659,SCFA_network; amino_acid_metabolism; bifidobacterium_niche; body_fat; carbohydrate_utilization; cross_feeding; glucose; lipid; lipid_metabolism; weight,7.075,6.307,7.839,0.3580,28.69,67.00,5.361,3.771,8.800,10.000,10.000,7.500,0.000,0.350,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,FOS/GOS optional; inulin/FOS optional,complete strain-resolved genome AMR/virulence/MGE screening before validation
11,ROBUST_011,Bifidobacterium animalis subsp. lactis B420; Bifidobacterium breve BBr60; Bacillus coagulans BC99,BL_B420; BB_BBr60; BC_BC99,3,FORM_B420_LU; FORM_BBR60; FORM_BC99,,27810310; 39456659; 40416368,SCFA_network; amino_acid_metabolism; barrier; bifidobacterium_niche; body_fat; fiber_response; glucose; microbiome_shift; spore_former; waist; weight; weight_subgroup,7.052,6.203,7.882,0.3288,30.17,73.00,5.090,3.362,8.800,10.000,10.000,5.000,0.000,0.000,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,inulin/FOS optional; none specified; polydextrose/Litesse Ultra,complete strain-resolved genome AMR/virulence/MGE screening before validation
12,ROBUST_012,Bifidobacterium longum BB536; Bifidobacterium breve MCC1274; Bifidobacterium breve BBr60; Lacticaseibacillus paracasei BEPC22; Lactiplantibacillus plantarum BELP53,BL_BB536; BB_MCC1274; BB_BBr60; LP_BEPC22; LPL_BELP53,5,FORM_BB536_MCC1274; FORM_BBR60; FORM_BN202M,,38542727; 38999741; 39456659,amino_acid_metabolism; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; cross_feeding; glucose; lipid; lipid_metabolism; visceral_fat; weight,6.999,6.212,7.739,0.3120,35.57,87.00,5.438,3.895,10.000,10.000,10.000,7.500,0.000,0.700,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,FOS/GOS optional; inulin/FOS optional,complete strain-resolved genome AMR/virulence/MGE screening before validation
13,ROBUST_013,Bifidobacterium animalis subsp. lactis B420; Bifidobacterium breve BBr60; Lacticaseibacillus paracasei BEPC22; Lactiplantibacillus plantarum BELP53,BL_B420; BB_BBr60; LP_BEPC22; LPL_BELP53,4,FORM_B420_LU; FORM_BBR60; FORM_BN202M,,27810310; 38999741; 39456659,SCFA_network; amino_acid_metabolism; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; cross_feeding; fiber_response; glucose; lipid_metabolism; waist; weight,7.017,6.229,7.790,0.3012,32.90,77.00,5.233,3.588,8.800,10.000,10.000,7.500,0.000,0.350,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,FOS/GOS optional; inulin/FOS optional; polydextrose/Litesse Ultra,complete strain-resolved genome AMR/virulence/MGE screening before validation
14,ROBUST_014,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium animalis subsp. lactis B420; Bacillus coagulans BC99,LF_K7; LF_K8; LF_K11; BL_B420; BC_BC99,5,FORM_LF_K7_K8_K11; FORM_B420_LU; FORM_BC99,,27810310; 37447365; 40416368,BMI; SCFA_network; barrier; body_fat; carbohydrate_utilization; fiber_response; microbiome_shift; spore_former; waist; weight; weight_subgroup,7.017,6.255,7.745,0.2882,33.20,81.00,6.011,4.416,8.800,10.000,10.000,7.500,0.000,0.700,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,acacia gum optional; probiotic arm strongest without synbiotic advantage; none specified; polydextrose/Litesse Ultra,complete strain-resolved genome AMR/virulence/MGE screening before validation
15,ROBUST_015,Bifidobacterium lactis IDCC 4301; Bifidobacterium animalis subsp. lactis B420; Bifidobacterium breve BBr60; Bacillus coagulans BC99,BL_IDCC4301; BL_B420; BB_BBr60; BC_BC99,4,FORM_IDCC4301; FORM_B420_LU; FORM_BBR60; FORM_BC99,,27810310; 39051504; 39456659; 40416368,SCFA_network; amino_acid_metabolism; barrier; bifidobacterium_niche; body_fat; fiber_response; glucose; lipid; microbiome_shift; spore_former; waist; weight; weight_subgroup,7.063,6.325,7.785,0.2856,24.36,54.00,5.359,3.909,10.000,10.000,10.000,5.000,0.000,0.350,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,inulin/FOS optional; none specified; polydextrose/Litesse Ultra,complete strain-resolved genome AMR/virulence/MGE screening before validation
16,ROBUST_016,Bifidobacterium lactis IDCC 4301; Bifidobacterium breve BBr60; Bacillus coagulans BC99,BL_IDCC4301; BB_BBr60; BC_BC99,3,FORM_IDCC4301; FORM_BBR60; FORM_BC99,,39051504; 39456659; 40416368,SCFA_network; amino_acid_metabolism; bifidobacterium_niche; body_fat; glucose; lipid; microbiome_shift; spore_former; weight; weight_subgroup,6.951,6.138,7.740,0.2360,36.70,87.00,5.219,3.562,8.000,10.000,10.000,5.000,0.000,0.000,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,inulin/FOS optional; none specified,complete strain-resolved genome AMR/virulence/MGE screening before validation
