rank,members,n_strains,axes,n_axes,diversity_mean,effect_mean_g,propionate_frac,culturability_mean,genus_diversity,spore_frac,composite_v2
1,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis,3,propionate+mucin,2,0.346,0.18,1.0,0.8,1.0,0.0,0.7631
2,Barnesiella_intestinihominis; Alistipes_putredinis; Bacteroides_cellulosilyticus,3,propionate+mucin,2,0.3,0.231,1.0,0.85,1.0,0.0,0.7607
3,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_cellulosilyticus,4,propionate+mucin,2,0.312,0.213,1.0,0.838,1.0,0.0,0.7584
4,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.281,0.224,0.8,0.82,1.0,0.2,0.7577
5,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Bacteroides_cellulosilyticus,3,propionate+mucin,2,0.305,0.218,1.0,0.85,1.0,0.0,0.7568
6,Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_cellulosilyticus,3,propionate+mucin,2,0.297,0.222,1.0,0.85,1.0,0.0,0.7532
7,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_cellulosilyticus; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.269,0.226,0.8,0.83,1.0,0.2,0.7507
8,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0.299,0.202,0.75,0.788,1.0,0.25,0.7477
9,Barnesiella_intestinihominis; Alistipes_putredinis; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0.264,0.24,0.75,0.825,1.0,0.25,0.7459
10,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0.268,0.23,0.75,0.825,1.0,0.25,0.743
11,Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0.262,0.234,0.75,0.825,1.0,0.25,0.7403
