species,coef_obese_log10,se,p,coef_age,coef_female,fdr,direction,fold_change_obese_vs_lean,meta_g,ci_low,ci_high,I2_percent,k_studies,ci_excludes_zero,robust,diversity_rho,genus,butyrate,propionate,mucin,bsh,culturability_class,culturability_score,spore_former,oral_origin,diversity_score,effect_score,propionate_score
Barnesiella_intestinihominis,-0.2275980821654658,0.0776216914563513,0.0034521509149618,-0.0003511110821123,0.0426325355148432,0.0231902655149946,lean_enriched,0.592,0.185,0.032,0.338,17.6,7,True,True,0.357,Barnesiella,0.0,2.0,1.0,0.0,culturable_anaerobe,0.8,0,0,0.9394736842105262,0.44047619047619047,1.0
Odoribacter_splanchnicus,-0.1434653703580784,0.053614886341849,0.0075903517509409,0.0027405208034842,-0.0111612365531086,0.0401403952450619,lean_enriched,0.719,0.158,0.004,0.311,18.0,7,True,True,0.348,Odoribacter,0.0,2.0,0.0,0.0,culturable_anaerobe,0.8,0,0,0.9157894736842105,0.3761904761904762,1.0
Alistipes_putredinis,-0.2480556714273932,0.0843298364125529,0.0033506252886863,-0.0072958670168845,0.0798734536776571,0.0231902655149946,lean_enriched,0.565,0.198,0.067,0.329,0.0,7,True,True,0.334,Alistipes,0.0,2.0,0.0,0.0,culturable_anaerobe,0.8,0,0,0.8789473684210527,0.4714285714285715,1.0
Eubacterium_eligens,-0.3060404350143065,0.0756475858244071,5.669796214018294e-05,0.0054060997896349,0.1737807162297815,0.0010509235884873,lean_enriched,0.494,0.271,0.14,0.402,0.0,7,True,True,0.314,Eubacterium,0.0,0.0,0.0,0.0,culturable_anaerobe,0.85,1,0,0.8263157894736842,0.6452380952380953,0.0
Eubacterium_siraeum,-0.3326724183721132,0.0831735266003176,6.865329975043101e-05,0.0093729513809163,-0.0029005243727219,0.0010509235884873,lean_enriched,0.465,0.261,0.13,0.392,0.0,7,True,True,0.244,Eubacterium,0.0,0.0,0.0,0.0,culturable_anaerobe,0.85,1,0,0.6421052631578947,0.6214285714285714,0.0
Bacteroides_cellulosilyticus,-0.3822175397475802,0.0864227909634645,1.094990406697106e-05,0.0031800172216375,0.0444054899804798,0.0003112901299038,lean_enriched,0.415,0.311,0.18,0.443,0.3,7,True,True,0.209,Bacteroides,0.0,2.0,1.0,1.0,culturable_easy,0.95,0,0,0.5499999999999999,0.7404761904761905,1.0
Alistipes_indistinctus,-0.2060593179711561,0.0606388429465884,0.0007084249345479,-0.0028285612245169,0.070777397441663,0.0078320312208361,lean_enriched,0.622,0.218,0.087,0.349,0.0,7,True,True,0.194,Alistipes,0.0,2.0,0.0,0.0,culturable_anaerobe,0.8,0,0,0.5105263157894737,0.5190476190476191,1.0
Bacteroides_dorei,-0.27281371912964,0.0972815441695074,0.0051507306399108,0.004804272331967,-0.0616631351041399,0.0292855827812073,lean_enriched,0.534,0.176,0.009,0.343,27.3,7,True,True,0.19,Bacteroides,0.0,2.0,1.0,1.0,culturable_easy,0.95,0,0,0.5,0.41904761904761906,1.0
Ruminococcus_lactaris,-0.2468148268480054,0.0875402255241429,0.0049170062704242,0.0070606589276688,-0.1474797166830722,0.0287789484651301,lean_enriched,0.566,0.187,0.056,0.318,0.0,7,True,True,0.168,Ruminococcus,0.0,0.0,1.0,0.0,named_isolate_likely,0.65,1,0,0.4421052631578948,0.44523809523809527,0.0
Bacteroides_intestinalis,-0.2151715497854958,0.0727602192350358,0.0031854541801421,0.0060452234640678,0.0759126823202343,0.0231902655149946,lean_enriched,0.609,0.224,0.028,0.42,44.2,7,True,True,0.159,Bacteroides,0.0,2.0,1.0,1.0,culturable_easy,0.95,0,0,0.41842105263157897,0.5333333333333333,1.0
Intestinimonas_butyriciproducens,-0.1850656861804633,0.0460713808972381,6.39158337204115e-05,0.0033009898574665,0.1197693749330272,0.0010509235884873,lean_enriched,0.653,0.267,0.131,0.403,4.0,7,True,True,0.157,Intestinimonas,2.0,0.0,0.0,0.0,culturable_anaerobe,0.75,1,0,0.4131578947368421,0.6357142857142858,0.0
