file_name,file_path,file_type,parse_status,pages,extracted_title,matched_evidence_id,matched_source_accession,matched_title,match_score,matched_table_kind,intervention_terms,duration_terms,cfu_terms,sample_size_terms,outcome_terms,text_excerpt,error
9.pdf,D:\Download\9.pdf,pdf,ok,12,"The promising effects of a multi-specie...triple-blind, placebo-controlled trial",PMID:40484149,40484149,Add-on probiotics for inflammatory depression - A double-blind randomized placebo-controlled trial.,0.520,registry_expansion2,,,,,,,
DMSO-558226-investigating-the-microbiota-gut-brain-axis-mechanisms-of-tr.pdf,D:\Download\DMSO-558226-investigating-the-microbiota-gut-brain-axis-mechanisms-of-tr.pdf,pdf,ok,10,DMSO_A_558226 3895..3904,NCT:NCT06823557,NCT06823557,Investigation of the Mechanisms of the Gut-brain Axis in Binge Eating and Obesity.,0.562,registry_expansion2,Prebiotic diet changes neural correlates of food decision-making in overweight adults; exercise for improving hepatic steatosis and cardiometabolic health in adults with obesity,6 Week; 1 Week; 0 Week; 4 Week; 8 Week; 12 Week; 3 months; 6 months,,74 patients; 22 Participants; 58 subjects; 74 subjects; 37 participants,Microbiota; body weight; body mass index; BMI; waist circumference; body fat; visceral fat; glucose; microbiome,"STUDY PROTOCOL Investigating the Microbiota-Gut-Brain Axis Mechanisms of Transcutaneous Auricular Vagus Nerve Stimulation in Patients with Obesity: A Study Protocol for a Randomized Controlled Trial Xia Chen 1–3,*, Weiqing Kong 4,*, Yang Song 5,6,*, Wei Huang 1–3, Yanji Zhang 1–3, Zhi Liu 1–3, Zhongyu Zhou 1–3, Chengwei Fu 1–3 1Department of Acupuncture, Hubei Provincial Hospital of Traditional Chinese Medicine, Wuhan, People’s Republic of China; 2Hubei Provincial Clinical Research Center for Acupuncture and Moxibustion Treatment of Obesity, Wuhan, People’s Republic of China; 3Department of Acupuncture, Affiliated Hospital of Hubei University of Chinese Medicine, Wuhan, People’s Republic of China; 4College of Acupuncture and Orthopedics, Hubei University of Chinese Medicine, Wuhan, People’s Republic of China; 5Department of Radiology, Hubei Provincial Hospital of Traditional Chinese Medicine, Wuhan, People’s Republic of China; 6Department of Radiology, Affiliated Hospital of Hubei Univ",
Feasibility and Tolerability of Nabilone for the Treatment of Obesity_ A Randomized Controlled Pilot Trial(科研通-ablesci.com).pdf,D:\Download\Feasibility and Tolerability of Nabilone for the Treatment of Obesity_ A Randomized Controlled Pilot Trial(科研通-ablesci.com).pdf,pdf,ok,12,Feasibility and Tolerability of Nabilone for the Treatment of Obesity: A Randomized Controlled Pilot Trial,PMID:40353878,40353878,Feasibility and Tolerability of Nabilone for the Treatment of Obesity: A Randomized Controlled Pilot Trial.,1.000,priority_top100,Nabilone for the Treatment of Obesity; nabilone would reduce body weight; nabilone compared with placebo in adults with obesity. Otherwise healthy adults aged 25; nabilone; nabilone withdrew due to AEs; nabilone pharmacotherapy; nabilone on the gut microbiome. 1Translational Addiction Research Laboratory; nabilone in adults with obesity who had not used any cannabinoid drugs for 6 months prior to enrol; nabilone-treated groups to the placebo-treated group. Since nabilone has been well tolerated in tr; nabilone would be well tolerated,12 weeks; 6 months; 12 months; 4 weeks; 3 days; 4 days; 1 week; 1 day,,18 participants; 15 participants; n = 8; n = 4; n = 15; n = 5; n = 6; n = 2,body weight; body mass index; BMI; waist circumference; microbiome; glucose; insulin; fat mass; microbiota; triglycerides; HDL; cholesterol; LDL,"ORIGINAL RESEARCH Feasibility and Tolerability of Nabilone for the Treatment of Obesity: A Randomized Controlled Pilot Trial Justin Matheson,1,2 Dominique Tertigas,3,4 Saima Malik,1 Valerie Taylor,5 Sofia Chavez,6 Keith A. Sharkey, 7 Cristoforo Silvestri,8,9 Michael Surette,3,4 and Bernard Le Foll 1,2,10–16,* Abstract Introduction: In epidemiological studies, people who use cannabis have a lower prevalence of obesity. Furthermore, the endocannabinoid system is recognized as a potential target for obesity treatment and partial agonism of the cannabinoid type-1 (CB 1) receptor may reduce body weight. We thus hypothesized that 12 weeks of pharmacotherapy with the partial CB 1 receptor agonist nabilone would reduce body weight, relative to placebo, in adults with obesity. Methods: We conducted a randomized, double-blind, placebo-controlled pilot clinical trial that investigated the feasibility, tolerability, and efﬁcacy of 12 weeks of treatment with nabilone compared with placebo in adults",
Mediators of Inflammation - 2014 - Rajkumar - Effect of Probiotic  VSL 3  and Omega‐3 on Lipid Profile  Insulin Sensitivity.pdf,D:\Download\Mediators of Inflammation - 2014 - Rajkumar - Effect of Probiotic  VSL 3  and Omega‐3 on Lipid Profile  Insulin Sensitivity.pdf,pdf,ok,8,"Effect of Probiotic (VSL#3) and Omega‐3 on Lipid Profile, Insulin Sensitivity, Inflammatory Markers, and Gut Colonization in Overweight Adults: A Randomized, Controlled Trial",PMID:24795503,24795503,"Effect of probiotic (VSL#3) and omega-3 on lipid profile, insulin sensitivity, inflammatory markers, and gut colonization in overweight adults: a randomized, controlled trial.",1.000,priority_top100,Probiotic; VSL#3; Omega-3 on Lipid Profile; omega-3 fatty acid on insulin sensitivity; omega-3 and probiotic; VSL#3 improved insulin sensitivity; Omega-3 had significant effect on insulin sensitivity and hsCRP but had no effect on gut microbio; exercise; probiotic strains was also found to reduce the onset of insulin resistance and diabetes in animals; VSL#3 is a commercially available mixture of probiotics containing a high concentration,6 weeks; 4 weeks; 45 days; 2 days,10 9 CFU,60 subjects; 15 subjects; 38 men,Insulin; inflammation; BMI; cholesterol; LDL; HDL; microbiota; CRP; body mass index; glucose; triglycerides; SCFA; microbiome,"ClinicalStudy Effect of Probiotic (VSL#3) and Omega-3 on Lipid Profile, Insulin Sensitivity, Inflammatory Markers, and Gut Colonization in Overweight Adults: A Randomized, Controlled Trial Hemalatha Rajkumar, Naseha Mahmood, Manoj Kumar, Sudarshan Reddy Varikuti, Hanumanth Reddy Challa, and Shiva Prakash Myakala DepartmentofMicrobiologyandImmunology,NationalInstituteofNutrition,ICMR,Hyderabad500007,India CorrespondenceshouldbeaddressedtoManojKumar;manoj15micro@yahoo.co.in Received13January2014;Revised22February2014;Accepted25February2014;Published26March2014 AcademicEditor:IshakOzelTekin Copyright © 2014 HemalathaRajkumaretal. This is an open access article distributed under the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited. To evaluate the effects of probiotic (VSL#3) and omega-3 fatty acid on insulin sensitivity, blood lipids, and inflammation, we conducted a clinical tr",
NCT05114018 (1).csv,D:\Download\NCT05114018 (1).csv,csv,ok,csv,"NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results Fi",NCT:NCT05114018,NCT05114018,Effect of Pasteurized Akkermansia Muciniphila on Insulin Resistance in Otherwise Healthy Subjects With Dysglycaemia,1.000,priority_top100,Akkermansia Muciniphila on Insulin Resistance in Otherwise Healthy Subjects With Dysglycaemia; Akkermansia muciniphila,,,,Insulin; glucose; HbA1c; cholesterol; body weight; BMI; body fat; fat mass,"NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents NCT05114018,Effect of Pasteurized Akkermansia Muciniphila on Insulin Resistance in Otherwise Healthy Subjects With Dysglycaemia,https://clinicaltrials.gov/study/NCT05114018,,COMPLETED,""The purpose of this study is to demonstrate the efficacy of pasteurized Akkermansia muciniphila (pAKK) in improving insulin sensitivity in hyperglycaemic, but otherwise healthy persons with metabolic syndrome. This is the primary objective of this study. Secondary objectives consist of evaluation of the effects of next generation beneficial microbes on metabolic health, anthropometry and body composition, ",
NCT05114018.csv,D:\Download\NCT05114018.csv,csv,ok,csv,"NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results Fi",NCT:NCT05114018,NCT05114018,Effect of Pasteurized Akkermansia Muciniphila on Insulin Resistance in Otherwise Healthy Subjects With Dysglycaemia,1.000,priority_top100,Akkermansia Muciniphila on Insulin Resistance in Otherwise Healthy Subjects With Dysglycaemia; Akkermansia muciniphila,,,,Insulin; glucose; HbA1c; cholesterol; body weight; BMI; body fat; fat mass,"NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents NCT05114018,Effect of Pasteurized Akkermansia Muciniphila on Insulin Resistance in Otherwise Healthy Subjects With Dysglycaemia,https://clinicaltrials.gov/study/NCT05114018,,COMPLETED,""The purpose of this study is to demonstrate the efficacy of pasteurized Akkermansia muciniphila (pAKK) in improving insulin sensitivity in hyperglycaemic, but otherwise healthy persons with metabolic syndrome. This is the primary objective of this study. Secondary objectives consist of evaluation of the effects of next generation beneficial microbes on metabolic health, anthropometry and body composition, ",
PIIS0016508517356986.pdf,D:\Download\PIIS0016508517356986.pdf,pdf,ok,12,Prebiotics Reduce Body Fat and Alter Intestinal Microbiota in Children Who Are Overweight or With Obesity,PMID:28596023,28596023,Prebiotics Reduce Body Fat and Alter Intestinal Microbiota in Children Who Are Overweight or With Obesity.,1.000,priority_top100,inulin; prebiotic; Inulin-type Fructans; prebiotic intake have largely centered on changes in Biﬁdobacterium and Abbreviations used in this; Lactobacillus; prebiotic intake was associated with a signi ﬁcant improvement in satiety; prebiotic and calcium intake in non-obese healthy chil- dren. 12; prebiotic intervention. There is also limited research assessing global microbial composition of ch; prebiotic supplementation on gut microbiota; prebiotic oligofructose-enriched inulin,16 weeks; 4 weeks; 12 weeks; 3 months; 2 weeks; 14 weeks; 3 days,,18 subjects; 4 subjects; 42 subjects; 38 children,Body Fat; Microbiota; body weight; body mass index; Fat mass; waist circumference; insulin; triglycerides; BMI; Adiposity; glucose; HDL; LDL; CRP,"Prebiotics Reduce Body Fat and Alter Intestinal Microbiota in Children Who Are Overweight or With Obesity Alissa C. Nicolucci, 1 Megan P. Hume, 1 Inés Martínez, 2 Shyamchand Mayengbam, 1 Jens Walter, 2,3 and Raylene A. Reimer 1,4 1Faculty of Kinesiology, University of Calgary, Calgary, Alberta, Canada; 2Department of Agricultural, Food and Nutritional Science, University of Alberta, Edmonton, Alberta, Canada; 3Department of Biological Sciences, University of Alberta, Edmonton, Alberta, Canada; 4Department of Biochemistry and Molecular Biology, University of Calgary, Calgary, Alberta, Canada BACKGROUND & AIMS: It might be possible to manipulate the intestinal microbiota with prebiotics or other agents to prevent or treat obesity. However, little is known about the ability of prebiotics to speci ﬁcally modify gut microbiota in children with overweight/obesity or reduce body weight. We performed a randomized controlled trial to study the effects of prebiotics on body composition, markers ",
The Journal of Physiology - 2025 - Davies - Effects of a combined energy restriction and vigorous‐intensity exercise.pdf,D:\Download\The Journal of Physiology - 2025 - Davies - Effects of a combined energy restriction and vigorous‐intensity exercise.pdf,pdf,ok,20,Effects of a combined energy restriction and vigorous‐intensity exercise intervention on the human gut microbiome: A randomised controlled trial,PMID:40828642,40828642,Effects of a combined energy restriction and vigorous-intensity exercise intervention on the human gut microbiome: A randomised controlled trial.,1.000,priority_top100,energy restriction and vigorous-intensity exercise intervention on the human gut microbiome; Exercise and Metabolism; energy restriction and vigorous-intensity exercise intervention that improved body composition and metabolic; exercise and energy restriction may be mediated by the gut microbiome; exercise and energy restriction intervention to examine changes to the gut microbiome in otherwise; exercise intervention in people with overweight and obesity was temporally associated with changes; exercise intervention that significantly improved body composition and metabolic health in people; Energy restriction plus exercise and the human gut microbiome; exercise may modulate the composition of the gut microbiome. In addition; exercise and weight loss may affect metabolic health viathegutmicrobiomeislargelyunexploredinthest,3 months; 3 weeks; 7 days,,n = 18; n = 12; n= 12; n= 18; 30 participants; n=9; n = 23; 28 participants,microbiome; fat mass; insulin; cholesterol; adiposity; SCFA; inflammation; body mass index; BMI; Waist circumference; glucose; HDL; CRP; LDL,"J Physiol 603.24 (2025) pp 7731–7750 7731 The Journal of Physiology Effects of a combined energy restriction and vigorous-intensity exercise intervention on the human gut microbiome: A randomised controlled trial Russell G. Davies1 ,LauraA.Wood 1,A ar o nH engist1 ,CiaraO’Donovan2,3,W ileyBarto n2,3 , FionaCrispie3,J ean-Phili p peW alhin1 ,MariaA.Valdivia-Garcia 4,I sabelGar cia-P er ez4,GaryF r ost4, OrlaO’Sullivan2,3,P a ulD .Co tter2,3,J a vierT .Go nzalez1,JamesA.Betts 1,F ranço iseK o umano v1 andDylanThompson 1 1Department for Health, Centre for Nutrition Exercise and Metabolism, University of Bath, Bath, UK 2APC Microbiome Ireland, University College Cork, Cork, Ireland 3Teagasc Food Research Centre, Moorepark, Cork, Ireland 4SectionofNutritionResearch,DivisionofDigestiveDiseases,Department ofMetabolism,DigestionandReproduction,ImperialCollegeLondon,So uth KensingtonCampus, London, UK HandlingEditors:KimBarrett&StephenKeely The peer review history is availablein theSupporting I",
"The combined effects of probiotics and restricted calorie diet on the anthropometric indices, eating behavior, and hormone level(科研通-ablesci.com) (1).pdf","D:\Download\The combined effects of probiotics and restricted calorie diet on the anthropometric indices, eating behavior, and hormone level(科研通-ablesci.com) (1).pdf",pdf,ok,14,"The combined effects of probiotics and restricted calorie diet on the anthropometric indices, eating",PMID:33054635,33054635,"The combined effects of probiotics and restricted calorie diet on the anthropometric indices, eating behavior, and hormone levels of obese women with food addiction",0.868,outcome_top100,probiotic supplementation on the anthropometric indices; probiotic; probiotic group compared to the placebo group; probiotic group compared to the baseline values; probiotic supplementation may have beneﬁcial eﬀects on anthropometric indices; probiotic administration on obesity management have been demonstrated in several meta-analyses in a; probiotic sup- plementation along with a restricted calorie diet; probiotic group; probiotic and placebo capsules were packed by the supplier company. 2 E. NARMAKI ET AL. Interventio; probiotic supplement contained six species of probiotic bacteria,12 weeks; 1 month; 2 months; 6 Week; 8 weeks,10 9 CFU; 109 CFU,n = 62; 62 women; n = 31; 62 participants,microbiota; body mass index; BMI; waist circumference; body weight; body fat; fat mass; glucose,"Full Terms & Conditions of access and use can be found at https://www.tandfonline.com/action/journalInformation-journalCode=ynns20 Nutritional Neuroscience An International Journal on Nutrition, Diet and Nervous System ISSN: (Print) (Online) Journal homepage: https://www.tandfonline.com/loi/ynns20 The combined effects of probiotics and restricted calorie diet on the anthropometric indices, eating behavior, and hormone levels of obese women with food addiction: a randomized clinical trial Elham Narmaki , Mohaddeseh Borazjani , Asal Ataie-Jafari , Nastaran Hariri , Azita Hekmat Doost , Mostafa Qorbani & Atoosa Saidpour To cite this article: Elham Narmaki , Mohaddeseh Borazjani , Asal Ataie-Jafari , Nastaran Hariri , Azita Hekmat Doost , Mostafa Qorbani & Atoosa Saidpour (2020): The combined effects of probiotics and restricted calorie diet on the anthropometric indices, eating behavior, and hormone levels of obese women with food addiction: a randomized clinical trial, Nutritional Neuros",
"The combined effects of probiotics and restricted calorie diet on the anthropometric indices, eating behavior, and hormone level(科研通-ablesci.com).pdf","D:\Download\The combined effects of probiotics and restricted calorie diet on the anthropometric indices, eating behavior, and hormone level(科研通-ablesci.com).pdf",pdf,ok,14,"The combined effects of probiotics and restricted calorie diet on the anthropometric indices, eating",PMID:33054635,33054635,"The combined effects of probiotics and restricted calorie diet on the anthropometric indices, eating behavior, and hormone levels of obese women with food addiction",0.873,outcome_top100,probiotic supplementation on the anthropometric indices; probiotic; probiotic group compared to the placebo group; probiotic group compared to the baseline values; probiotic supplementation may have beneﬁcial eﬀects on anthropometric indices; probiotic administration on obesity management have been demonstrated in several meta-analyses in a; probiotic sup- plementation along with a restricted calorie diet; probiotic group; probiotic and placebo capsules were packed by the supplier company. 2 E. NARMAKI ET AL. Interventio; probiotic supplement contained six species of probiotic bacteria,12 weeks; 1 month; 2 months; 6 Week; 8 weeks,10 9 CFU; 109 CFU,n = 62; 62 women; n = 31; 62 participants,microbiota; body mass index; BMI; waist circumference; body weight; body fat; fat mass; glucose,"Full Terms & Conditions of access and use can be found at https://www.tandfonline.com/action/journalInformation-journalCode=ynns20 Nutritional Neuroscience An International Journal on Nutrition, Diet and Nervous System ISSN: (Print) (Online) Journal homepage: https://www.tandfonline.com/loi/ynns20 The combined effects of probiotics and restricted calorie diet on the anthropometric indices, eating behavior, and hormone levels of obese women with food addiction: a randomized clinical trial Elham Narmaki , Mohaddeseh Borazjani , Asal Ataie-Jafari , Nastaran Hariri , Azita Hekmat Doost , Mostafa Qorbani & Atoosa Saidpour To cite this article: Elham Narmaki , Mohaddeseh Borazjani , Asal Ataie-Jafari , Nastaran Hariri , Azita Hekmat Doost , Mostafa Qorbani & Atoosa Saidpour (2020): The combined effects of probiotics and restricted calorie diet on the anthropometric indices, eating behavior, and hormone levels of obese women with food addiction: a randomized clinical trial, Nutritional Neuros",
