file_name,file_path,file_type,parse_status,pages,extracted_title,matched_evidence_id,matched_source_accession,matched_title,match_score,top100_table_kind,intervention_terms,duration_terms,cfu_terms,sample_size_terms,outcome_terms,text_excerpt,error
1123.pdf,F:\workspace\codex\strain mix codex\1123.pdf,pdf,ok,17,1123,PMID:31965834,31965834,"Effect of multi-strain probiotic (UB0316) in weight management in overweight/obese adults: a 12-week double blind, randomised, placebo-controlled study.",0.040,priority,,,,,,,
2.pdf,F:\workspace\codex\strain mix codex\2.pdf,pdf,ok,14,Probiotic pasta consumption improves li... adults_ a randomized controlled trial,EUROPEPMC:41126806,41126806,Probiotic pasta consumption improves lipid metabolism and reduces gut permeability in overweight and obese adults: a randomized controlled trial.,0.694,priority,,,,,,,
3.pdf,F:\workspace\codex\strain mix codex\3.pdf,pdf,ok,23,"The efficacy of Lacticaseibacillus para...uble-blinded, placebo-controlled study",PMID:35487505,35487505,"Effect of Lactobacillus plantarum LMT1-48 on Body Fat in Overweight Subjects: A Randomized, Double-Blind, Placebo-Controlled Trial.",0.559,priority,,,,,,,
4.pdf,F:\workspace\codex\strain mix codex\4.pdf,pdf,ok,10,Efficacy and Safety of Lactobacillus pl...Double-Blind Controlled Clinical Trial,EUROPEPMC:35126309,35126309,"Efficacy and Safety of <i>Lactobacillus plantarum</i> K50 on Lipids in Koreans With Obesity: A Randomized, Double-Blind Controlled Clinical Trial.",0.716,priority,,,,,,,
5.pdf,F:\workspace\codex\strain mix codex\5.pdf,pdf,ok,10,"Effect of Bacillus coagulans BC99 suppl...double-blind, placebo-controlled study",EUROPEPMC:40416368,40416368,"Effect of <i>Bacillus coagulans</i> BC99 supplementation on body weight and gut microbiota in overweight and obese individual: a randomized, double-blind, placebo-controlled study.",0.616,priority,,,,,,,
6.pdf,F:\workspace\codex\strain mix codex\6.pdf,pdf,ok,20,Effects of Synbiotic Supplementation on...hinese Individuals_ A Randomized Trial,PMID:39664910,39664910,Effect of synbiotic supplementation on obesity and gut microbiota in obese adults: a double-blind randomized controlled trial.,0.647,priority,,,,,,,
7.pdf,F:\workspace\codex\strain mix codex\7.pdf,pdf,ok,17,7,PMID:29688793,29688793,"Lactobacillus gasseri BNR17 Supplementation Reduces the Visceral Fat Accumulation and Waist Circumference in Obese Adults: A Randomized, Double-Blind, Placebo-Controlled Trial.",0.012,priority,,,,,,,
8.pdf,F:\workspace\codex\strain mix codex\8.pdf,pdf,ok,24,"Efficacy and Safety of CKDB-322, a Comb...dominal Adiposity in Overweight Adults",PMID:41599863,41599863,"Efficacy and Safety of CKDB-322, a Combination of",0.736,outcome,,,,,,,
bm-article-p121_2 (1).pdf,F:\workspace\codex\strain mix codex\bm-article-p121_2 (1).pdf,pdf,ok,16,Beneficial Microbes,PMID:38393021,38393021,The Efficacy of,0.471,outcome,Probiotic or synbiotic alters the gut microbiota and metabolism in a randomised controlle; probiotic alone or together with a prebiotic controls body fat mass in healthy overweight; polydextrose; Bifidobacterium animalis subsp. lactis 420; B420; B420 in 12 g; Lactobacillus and Akkermansia were more abundant with B420 at the end of the intervention. LU; B420 increased Akkermansia,6 months; 1 month; 6 weeks; 2 months; 3 months; 4 months; 6 month,"B420), 1010 cfu/d in 12 g microcr; +B420, 1010 cfu/d of B420 in 12 g; ), 10 10 cfu/day in 12 g micro; B420, 10 10 cfu/day of B420 in 12",n=134,microbiota; body fat; glucose; body mass index; BMI; insulin; cholesterol; LDL; triglycerides; Waist circumference,"Beneficial Microbes, 2019; 10(2): 121-135 Wageningen Academic Publishers ISSN 1876-2883 print, ISSN 1876-2891 online, DOI 10.3920/BM2018.0028 121 1. Introduction The incidence of obesity and related metabolic disorders is growing worldwide and now more than 1.9 billion adults are overweight or obese (WHO, 2016). After the very first reports linking the gut microbiota to obesity (Ley et al. , 2006; Turnbaugh et al. , 2006), various scientific efforts were initiated to understand whether this association is causal and, furthermore, what the specific mechanisms are. Despite the rapid development in methods to characterise the gut microbiome, our understanding of its composition and function remains limited. In the recent Dutch LifeLines- Probiotic or synbiotic alters the gut microbiota and metabolism in a randomised controlled trial of weight management in overweight adults A.A. Hibberd 1*,",
bm-article-p121_2.pdf,F:\workspace\codex\strain mix codex\bm-article-p121_2.pdf,pdf,ok,16,Beneficial Microbes,PMID:38393021,38393021,The Efficacy of,0.471,outcome,Probiotic or synbiotic alters the gut microbiota and metabolism in a randomised controlle; probiotic alone or together with a prebiotic controls body fat mass in healthy overweight; polydextrose; Bifidobacterium animalis subsp. lactis 420; B420; B420 in 12 g; Lactobacillus and Akkermansia were more abundant with B420 at the end of the intervention. LU; B420 increased Akkermansia,6 months; 1 month; 6 weeks; 2 months; 3 months; 4 months; 6 month,"B420), 1010 cfu/d in 12 g microcr; +B420, 1010 cfu/d of B420 in 12 g; ), 10 10 cfu/day in 12 g micro; B420, 10 10 cfu/day of B420 in 12",n=134,microbiota; body fat; glucose; body mass index; BMI; insulin; cholesterol; LDL; triglycerides; Waist circumference,"Beneficial Microbes, 2019; 10(2): 121-135 Wageningen Academic Publishers ISSN 1876-2883 print, ISSN 1876-2891 online, DOI 10.3920/BM2018.0028 121 1. Introduction The incidence of obesity and related metabolic disorders is growing worldwide and now more than 1.9 billion adults are overweight or obese (WHO, 2016). After the very first reports linking the gut microbiota to obesity (Ley et al. , 2006; Turnbaugh et al. , 2006), various scientific efforts were initiated to understand whether this association is causal and, furthermore, what the specific mechanisms are. Despite the rapid development in methods to characterise the gut microbiome, our understanding of its composition and function remains limited. In the recent Dutch LifeLines- Probiotic or synbiotic alters the gut microbiota and metabolism in a randomised controlled trial of weight management in overweight adults A.A. Hibberd 1*,",
